rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-70.145,-98.828,-89.105,-76.129,-71.558,260.800,0.000
-70.195,-102.838,-88.097,-76.104,-71.537,262.400,0.000
-70.244,-104.848,-88.180,-76.079,-71.516,264.000,0.000
-70.293,-103.858,-87.872,-76.054,-71.495,265.600,0.000
-70.341,-101.868,-88.613,-76.029,-71.495,267.200,0.000
-70.389,-103.368,-89.097,-76.004,-71.474,268.800,0.000
-70.437,-101.379,-87.988,-75.978,-71.453,270.400,0.000
-70.485,-102.889,-88.480,-75.953,-71.431,272.000,0.000
-70.533,-104.149,-89.821,-75.928,-71.410,273.600,0.000
-70.580,-106.409,-90.155,-75.902,-71.410,275.200,0.000
-70.627,-106.419,-92.346,-75.877,-71.388,276.800,0.000
-70.674,-106.929,-93.388,-75.851,-71.367,278.400,0.000
-70.720,-103.429,-93.371,-75.825,-71.345,280.000,0.000
-70.766,-98.939,-92.862,-75.800,-71.345,281.600,0.000
-70.812,-102.199,-93.654,-75.774,-71.324,283.200,0.000
-70.858,-103.210,-93.137,-75.748,-71.302,284.800,0.000
-70.903,-101.720,-91.928,-75.722,-71.281,286.400,0.000
-70.949,-100.480,-93.720,-75.696,-71.281,288.000,0.000
-70.994,-97.490,-93.703,-75.670,-71.259,289.600,0.000
-71.038,-96.000,-95.094,-75.643,-71.237,291.200,0.000
-71.083,-94.010,-94.486,-75.617,-71.237,292.800,0.000
-71.127,-93.260,-93.577,-75.591,-71.515,294.400,0.000
-71.171,-93.020,-93.160,-75.564,-72.493,296.000,0.000
-71.215,-94.030,-90.652,-75.538,-72.793,297.600,0.000
-71.259,-93.040,-88.943,-75.511,-72.771,299.200,0.000
-71.302,-93.050,-89.026,-75.484,-72.949,300.800,0.000
-71.345,-92.560,-88.217,-75.457,-73.249,302.400,0.000
-71.388,-93.070,-87.609,-75.431,-74.327,304.000,0.000
-71.431,-94.080,-86.700,-75.404,-74.827,305.600,0.000
-71.474,-93.589,-86.183,-75.377,-74.905,307.200,0.000
-71.516,-95.099,-86.274,-75.349,-74.983,308.800,0.000
-71.558,-95.609,-85.665,-75.322,-75.483,310.400,0.000
-71.600,-95.119,-85.548,-75.295,-75.461,312.000,0.000
-71.642,-95.629,-86.039,-75.267,-75.261,313.600,0.000
-71.684,-96.639,-86.131,-75.240,-75.138,315.200,0.000
-71.725,-95.639,-88.022,-75.212,-74.938,316.800,0.000
-71.766,-95.649,-88.505,-75.185,-74.916,318.400,0.000
-71.807,-97.659,-90.196,-75.157,-74.616,320.000,0.000
-71.848,-96.368,-92.187,-75.129,-74.194,321.600,0.000
-71.888,-98.278,-91.978,-75.101,-74.294,323.200,0.000
-71.929,-100.488,-91.561,-75.073,-74.171,324.800,0.000
-71.969,-101.498,-90.452,-75.045,-73.871,326.400,0.000
-72.009,-105.808,-87.443,-75.017,-74.249,328.000,0.000
-72.049,-102.917,-85.234,-74.989,-74.649,329.600,0.000
-72.089,-101.927,-84.417,-74.960,-74.726,331.200,0.000
