RSSI-1,RSSI-2,RSSI-3,RSSI-4,RSSI-5,RSSI-6,RSSI-7,RSSI-8,RSSI-9,X,Y
-70.096,-73.425,-77.817,-77.236,-79.622,-77.247,-76.154,-64.199,-71.579,259.200,0.000
-70.145,-73.442,-77.828,-77.236,-79.605,-77.225,-76.129,-64.100,-71.558,260.800,0.000
-70.195,-73.475,-77.838,-77.225,-79.597,-77.203,-76.104,-64.000,-71.537,262.400,0.000
-70.244,-73.492,-77.848,-77.225,-79.580,-77.181,-76.079,-63.899,-71.516,264.000,0.000
-70.293,-73.509,-77.858,-77.225,-79.572,-77.159,-76.054,-63.797,-71.495,265.600,0.000
-70.341,-73.543,-77.868,-77.214,-79.563,-77.148,-76.029,-63.694,-71.495,267.200,0.000
-70.389,-73.559,-77.868,-77.214,-79.547,-77.126,-76.004,-63.589,-71.474,268.800,0.000
-70.437,-73.576,-77.879,-77.203,-79.538,-77.103,-75.978,-63.483,-71.453,270.400,0.000
-70.485,-73.609,-77.889,-77.203,-79.530,-77.081,-75.953,-63.376,-71.431,272.000,0.000
-70.533,-73.626,-77.899,-77.192,-79.521,-77.070,-75.928,-63.267,-71.410,273.600,0.000
-70.580,-73.659,-77.909,-77.192,-79.505,-77.048,-75.902,-63.157,-71.410,275.200,0.000
-70.627,-73.676,-77.919,-77.192,-79.496,-77.025,-75.877,-63.102,-71.388,276.800,0.000
-70.674,-73.692,-77.929,-77.181,-79.488,-77.003,-75.851,-62.990,-71.367,278.400,0.000
-70.720,-73.725,-77.929,-77.181,-79.471,-76.992,-75.825,-62.876,-71.345,280.000,0.000
-70.766,-73.741,-77.939,-77.181,-79.462,-76.969,-75.800,-62.761,-71.345,281.600,0.000
-70.812,-73.774,-77.949,-77.170,-79.454,-76.947,-75.774,-62.645,-71.324,283.200,0.000
-70.858,-73.790,-77.960,-77.170,-79.437,-76.924,-75.748,-62.526,-71.302,284.800,0.000
-70.903,-73.823,-77.970,-77.159,-79.428,-76.913,-75.722,-62.407,-71.281,286.400,0.000
-70.949,-73.839,-77.980,-77.159,-79.420,-76.890,-75.696,-62.285,-71.281,288.000,0.000
-70.994,-73.855,-77.990,-77.159,-79.403,-76.867,-75.670,-62.162,-71.259,289.600,0.000
-71.038,-73.887,-78.000,-77.148,-79.394,-76.844,-75.643,-62.037,-71.237,291.200,0.000
-71.083,-73.903,-78.010,-77.148,-79.386,-76.833,-75.617,-61.910,-71.237,292.800,0.000
-71.127,-73.935,-78.010,-77.148,-79.377,-76.810,-75.591,-61.781,-71.215,294.400,0.000
-71.171,-73.951,-78.020,-77.137,-79.360,-76.787,-75.564,-61.651,-71.193,296.000,0.000
-71.215,-73.983,-78.030,-77.137,-79.352,-76.775,-75.538,-61.518,-71.193,297.600,0.000
-71.259,-73.999,-78.040,-77.137,-79.343,-76.752,-75.511,-61.384,-71.171,299.200,0.000
-71.302,-74.031,-78.050,-77.126,-79.326,-76.729,-75.484,-61.247,-71.149,300.800,0.000
-71.345,-74.047,-78.060,-77.126,-79.317,-76.706,-75.457,-61.108,-71.149,302.400,0.000
-71.388,-74.062,-78.070,-77.126,-79.309,-76.694,-75.431,-60.967,-71.127,304.000,0.000
-71.431,-74.094,-78.080,-77.115,-79.300,-76.671,-75.404,-60.823,-71.127,305.600,0.000
-71.474,-74.110,-78.089,-77.115,-79.283,-76.647,-75.377,-60.677,-71.105,307.200,0.000
-71.516,-74.141,-78.099,-77.115,-79.274,-76.624,-75.349,-60.529,-71.083,308.800,0.000
-71.558,-74.156,-78.109,-77.115,-79.265,-76.612,-75.322,-60.377,-71.083,310.400,0.000
-71.600,-74.188,-78.119,-77.103,-79.248,-76.589,-75.295,-60.224,-71.061,312.000,0.000
-71.642,-74.203,-78.129,-77.103,-79.239,-76.565,-75.267,-60.067,-71.061,313.600,0.000
-71.684,-74.234,-78.139,-77.103,-79.231,-76.553,-75.240,-59.908,-71.038,315.200,0.000
-71.725,-74.250,-78.139,-77.092,-79.222,-76.530,-75.212,-59.745,-71.038,316.800,0.000
-71.766,-74.280,-78.149,-77.092,-79.205,-76.506,-75.185,-59.663,-71.016,318.400,0.000
-71.807,-74.296,-78.159,-77.092,-79.196,-76.482,-75.157,-59.496,-71.016,320.000,0.000
-71.848,-74.326,-78.168,-77.092,-79.187,-76.470,-75.129,-59.326,-70.994,321.600,0.000
-71.888,-74.342,-78.178,-77.081,-79.178,-76.446,-75.101,-59.152,-70.994,323.200,0.000
-71.929,-74.372,-78.188,-77.081,-79.161,-76.422,-75.073,-58.975,-70.971,324.800,0.000
-71.969,-74.387,-78.198,-77.081,-79.152,-76.410,-75.045,-58.794,-70.971,326.400,0.000
-72.009,-74.418,-78.208,-77.081,-79.143,-76.386,-75.017,-58.609,-70.949,328.000,0.000
-72.049,-74.433,-78.217,-77.070,-79.134,-76.362,-74.989,-58.420,-70.949,329.600,0.000
-72.089,-74.463,-78.227,-77.070,-79.117,-76.338,-74.960,-58.227,-70.926,331.200,0.000
-72.128,-74.478,-78.237,-77.070,-79.108,-76.325,-74.932,-58.030,-70.926,332.800,0.000
-72.167,-74.508,-78.247,-77.070,-79.099,-76.301,-74.903,-57.828,-70.903,334.400,0.000
-72.207,-74.523,-78.256,-77.070,-79.090,-76.277,-74.874,-57.621,-70.903,336.000,0.000
-72.245,-74.553,-78.266,-77.059,-79.073,-76.265,-74.846,-57.409,-70.903,337.600,0.000
-72.284,-74.582,-78.276,-77.059,-79.064,-76.240,-74.817,-57.301,-70.881,339.200,0.000
-72.323,-74.597,-78.286,-77.059,-79.055,-76.215,-74.788,-57.081,-70.881,340.800,0.000
-72.361,-74.627,-78.295,-77.059,-79.046,-76.203,-74.759,-56.856,-70.858,342.400,0.000
-72.400,-74.642,-78.305,-77.059,-79.037,-76.178,-74.730,-56.624,-70.858,344.000,0.000
-72.438,-74.671,-78.315,-77.048,-79.019,-76.154,-74.700,-56.386,-70.858,345.600,0.000
-72.476,-74.686,-78.324,-77.048,-79.011,-76.129,-74.671,-56.141,-70.835,347.200,0.000
-72.513,-74.715,-78.334,-77.048,-79.002,-76.116,-74.642,-55.890,-70.835,348.800,0.000
-72.551,-74.730,-78.343,-77.048,-78.993,-76.092,-74.612,-55.630,-70.835,350.400,0.000
-72.588,-74.759,-78.353,-77.048,-78.984,-76.067,-74.582,-55.498,-70.812,352.000,0.000
-72.626,-74.773,-78.363,-77.048,-78.966,-76.054,-74.553,-55.226,-70.812,353.600,0.000
-72.663,-74.802,-78.372,-77.048,-78.957,-76.029,-74.523,-54.946,-70.812,355.200,0.000
-72.700,-74.831,-78.382,-77.037,-78.948,-76.004,-74.493,-54.656,-70.789,356.800,0.000
-72.737,-74.846,-78.391,-77.037,-78.939,-75.991,-74.463,-54.357,-70.789,358.400,0.000
-72.773,-74.874,-78.401,-77.037,-78.930,-75.966,-74.433,-54.047,-70.789,360.000,0.000
-72.810,-74.889,-78.420,-77.037,-78.912,-75.940,-74.402,-53.887,-70.789,361.600,0.000
-72.846,-74.917,-78.430,-77.037,-78.903,-75.928,-74.372,-53.559,-70.766,363.200,0.000
-72.882,-74.932,-78.439,-77.037,-78.894,-75.902,-74.342,-53.219,-70.766,364.800,0.000
-72.918,-74.960,-78.449,-77.037,-78.885,-75.877,-74.311,-52.864,-70.766,366.400,0.000
-72.954,-74.989,-78.458,-77.037,-78.876,-75.864,-74.280,-52.681,-70.766,368.000,0.000
-72.990,-75.003,-78.468,-77.025,-78.858,-75.838,-74.250,-52.304,-70.743,369.600,0.000
-73.026,-75.031,-78.477,-77.025,-78.848,-75.813,-74.219,-51.909,-70.743,371.200,0.000
-73.061,-75.045,-78.487,-77.025,-78.839,-75.800,-74.188,-51.704,-70.743,372.800,0.000
-73.096,-75.073,-78.496,-77.025,-78.830,-75.774,-74.156,-51.281,-70.743,374.400,0.000
-73.131,-75.101,-78.506,-77.025,-78.821,-75.748,-74.125,-51.061,-70.743,376.000,0.000
-73.166,-75.115,-78.515,-77.025,-78.812,-75.735,-74.094,-50.603,-70.743,377.600,0.000
-74.094,-75.735,-78.812,-77.025,-78.515,-75.115,-73.166,-50.603,-70.743,422.400,0.000
-74.125,-75.748,-78.821,-77.025,-78.506,-75.101,-73.131,-51.061,-70.743,424.000,0.000
-74.156,-75.774,-78.830,-77.025,-78.496,-75.073,-73.096,-51.281,-70.743,425.600,0.000
-74.188,-75.800,-78.839,-77.025,-78.487,-75.045,-73.061,-51.704,-70.743,427.200,0.000
-74.219,-75.813,-78.848,-77.025,-78.477,-75.031,-73.026,-51.909,-70.743,428.800,0.000
-74.250,-75.838,-78.858,-77.025,-78.468,-75.003,-72.990,-52.304,-70.743,430.400,0.000
-74.280,-75.864,-78.876,-77.037,-78.458,-74.989,-72.954,-52.681,-70.766,432.000,0.000
-74.311,-75.877,-78.885,-77.037,-78.449,-74.960,-72.918,-52.864,-70.766,433.600,0.000
-74.342,-75.902,-78.894,-77.037,-78.439,-74.932,-72.882,-53.219,-70.766,435.200,0.000
-74.372,-75.928,-78.903,-77.037,-78.430,-74.917,-72.846,-53.559,-70.766,436.800,0.000
-74.402,-75.940,-78.912,-77.037,-78.420,-74.889,-72.810,-53.887,-70.789,438.400,0.000
-74.433,-75.966,-78.930,-77.037,-78.401,-74.874,-72.773,-54.047,-70.789,440.000,0.000
-74.463,-75.991,-78.939,-77.037,-78.391,-74.846,-72.737,-54.357,-70.789,441.600,0.000
-74.493,-76.004,-78.948,-77.037,-78.382,-74.831,-72.700,-54.656,-70.789,443.200,0.000
-74.523,-76.029,-78.957,-77.048,-78.372,-74.802,-72.663,-54.946,-70.812,444.800,0.000
-74.553,-76.054,-78.966,-77.048,-78.363,-74.773,-72.626,-55.226,-70.812,446.400,0.000
-74.582,-76.067,-78.984,-77.048,-78.353,-74.759,-72.588,-55.498,-70.812,448.000,0.000
-74.612,-76.092,-78.993,-77.048,-78.343,-74.730,-72.551,-55.630,-70.835,449.600,0.000
-74.642,-76.116,-79.002,-77.048,-78.334,-74.715,-72.513,-55.890,-70.835,451.200,0.000
-74.671,-76.129,-79.011,-77.048,-78.324,-74.686,-72.476,-56.141,-70.835,452.800,0.000
