rssi1,rssi2,rssi3,x,y
-80.293,-77.388,-68.694,636.800,0.000
-80.301,-77.377,-68.753,638.400,0.000
-80.309,-77.377,-68.811,640.000,0.000
-80.324,-77.366,-68.868,641.600,0.000
-80.332,-77.355,-68.925,643.200,0.000
-80.347,-77.355,-68.982,644.800,0.000
-80.355,-77.344,-69.039,646.400,0.000
-80.370,-77.344,-69.095,648.000,0.000
-80.377,-77.334,-69.150,649.600,0.000
-80.393,-77.334,-69.178,651.200,0.000
-80.400,-77.323,-69.233,652.800,0.000
-80.415,-77.323,-69.288,654.400,0.000
-80.423,-77.312,-69.342,656.000,0.000
-80.438,-77.312,-69.396,657.600,0.000
-80.446,-77.301,-69.450,659.200,0.000
-80.461,-77.301,-69.504,660.800,0.000
-80.468,-77.290,-69.557,662.400,0.000
-80.476,-77.290,-69.610,664.000,0.000
-80.491,-77.279,-69.662,665.600,0.000
-80.498,-77.279,-69.714,667.200,0.000
-80.514,-77.269,-69.766,668.800,0.000
-80.521,-77.269,-69.818,670.400,0.000
-80.536,-77.258,-69.869,672.000,0.000
-80.543,-77.258,-69.920,673.600,0.000
-80.558,-77.247,-69.971,675.200,0.000
-80.566,-77.247,-70.021,676.800,0.000
-80.581,-77.236,-70.071,678.400,0.000
-80.588,-77.236,-70.121,680.000,0.000
-80.603,-77.236,-70.170,681.600,0.000
-80.610,-77.225,-70.219,683.200,0.000
-80.625,-77.225,-70.268,684.800,0.000
-80.633,-77.214,-70.317,686.400,0.000
-80.647,-77.214,-70.365,688.000,0.000
-80.655,-77.203,-70.414,689.600,0.000
-80.670,-77.203,-70.461,691.200,0.000
-80.677,-77.203,-70.509,692.800,0.000
-80.692,-77.192,-70.556,694.400,0.000
-80.699,-77.192,-70.603,696.000,0.000
-80.714,-77.181,-70.650,697.600,0.000
-80.721,-77.181,-70.697,699.200,0.000
-80.736,-77.181,-70.743,700.800,0.000
-80.743,-77.170,-70.789,702.400,0.000
-80.758,-77.170,-70.835,704.000,0.000
-80.772,-77.170,-70.881,705.600,0.000
-80.779,-77.159,-70.926,707.200,0.000
-80.794,-77.159,-70.971,708.800,0.000
-80.801,-77.159,-71.016,710.400,0.000
-80.816,-77.148,-71.061,712.000,0.000
-80.823,-77.148,-71.105,713.600,0.000
-80.837,-77.137,-71.149,715.200,0.000
-80.845,-77.137,-71.193,716.800,0.000
-80.859,-77.137,-71.237,718.400,0.000
-80.866,-77.137,-71.281,720.000,0.000
-80.881,-77.126,-71.324,721.600,0.000
-80.888,-77.126,-71.367,723.200,0.000
-80.902,-77.126,-71.410,724.800,0.000
-80.909,-77.115,-71.453,726.400,0.000
-80.924,-77.115,-71.495,728.000,0.000
-80.931,-77.115,-71.537,729.600,0.000
-80.945,-77.103,-71.579,731.200,0.000
-80.959,-77.103,-71.621,732.800,0.000
-80.967,-77.103,-71.663,734.400,0.000
-80.981,-77.103,-71.704,736.000,0.000
-80.988,-77.092,-71.746,737.600,0.000
-81.002,-77.092,-71.787,739.200,0.000
-81.009,-77.092,-71.828,740.800,0.000
-81.023,-77.092,-71.868,742.400,0.000
-81.030,-77.081,-71.909,744.000,0.000
-81.045,-77.081,-71.949,745.600,0.000
-81.059,-77.081,-71.989,747.200,0.000
-81.066,-77.081,-72.029,748.800,0.000
-81.080,-77.070,-72.069,750.400,0.000
-81.087,-77.070,-72.108,752.000,0.000
-81.101,-77.070,-72.148,753.600,0.000
-81.108,-77.070,-72.187,755.200,0.000
-81.122,-77.070,-72.226,756.800,0.000
-81.129,-77.059,-72.265,758.400,0.000
-81.143,-77.059,-72.304,760.000,0.000
-81.157,-77.059,-72.342,761.600,0.000
-81.164,-77.059,-72.380,763.200,0.000
-81.178,-77.059,-72.419,764.800,0.000
-81.184,-77.048,-72.457,766.400,0.000
-81.198,-77.048,-72.494,768.000,0.000
-81.205,-77.048,-72.532,769.600,0.000
-81.219,-77.048,-72.570,771.200,0.000
-81.233,-77.048,-72.607,772.800,0.000
-81.240,-77.048,-72.644,774.400,0.000
-81.254,-77.037,-72.681,776.000,0.000
-81.261,-77.037,-72.718,777.600,0.000
-81.274,-77.037,-72.755,779.200,0.000
-81.281,-77.037,-72.791,780.800,0.000
-81.295,-77.037,-72.828,782.400,0.000
-81.309,-77.037,-72.864,784.000,0.000
-81.315,-77.037,-72.900,785.600,0.000
-81.329,-77.037,-72.936,787.200,0.000
-81.336,-77.025,-72.972,788.800,0.000
-81.350,-77.025,-73.008,790.400,0.000
-81.363,-77.025,-73.043,792.000,0.000
-81.370,-77.025,-73.079,793.600,0.000
-81.384,-77.025,-73.114,795.200,0.000
-81.390,-77.025,-73.149,796.800,0.000
-81.404,-77.025,-73.184,798.400,0.000
-77.003,-81.397,-73.184,1.600,1.600
-77.003,-81.384,-73.149,3.200,1.600
-77.003,-81.377,-73.114,4.800,1.600
-77.003,-81.363,-73.079,6.400,1.600
-77.003,-81.350,-73.043,8.000,1.600
-77.003,-81.343,-73.008,9.600,1.600
-77.003,-81.329,-72.972,11.200,1.600
-77.014,-81.322,-72.936,12.800,1.600
-77.014,-81.309,-72.900,14.400,1.600
-77.014,-81.295,-72.864,16.000,1.600
-77.014,-81.288,-72.828,17.600,1.600
-77.014,-81.274,-72.791,19.200,1.600
-77.014,-81.267,-72.755,20.800,1.600
-77.014,-81.254,-72.718,22.400,1.600
-77.014,-81.240,-72.681,24.000,1.600
-77.025,-81.233,-72.644,25.600,1.600
-77.025,-81.219,-72.607,27.200,1.600
-77.025,-81.212,-72.570,28.800,1.600
-77.025,-81.198,-72.532,30.400,1.600
-77.025,-81.191,-72.494,32.000,1.600
-77.025,-81.178,-72.457,33.600,1.600
-77.037,-81.164,-72.419,35.200,1.600
-77.037,-81.157,-72.380,36.800,1.600
-77.037,-81.143,-72.342,38.400,1.600
-77.037,-81.136,-72.304,40.000,1.600
-77.037,-81.122,-72.265,41.600,1.600
-77.048,-81.115,-72.226,43.200,1.600
-77.048,-81.101,-72.187,44.800,1.600
-77.048,-81.087,-72.148,46.400,1.600
-77.048,-81.080,-72.108,48.000,1.600
-77.048,-81.066,-72.069,49.600,1.600
-77.059,-81.059,-72.029,51.200,1.600
-77.059,-81.045,-71.989,52.800,1.600
-77.059,-81.037,-71.949,54.400,1.600
-77.059,-81.023,-71.909,56.000,1.600
-77.070,-81.016,-71.868,57.600,1.600
-77.070,-81.002,-71.828,59.200,1.600
-77.070,-80.988,-71.787,60.800,1.600
-77.070,-80.981,-71.746,62.400,1.600
-77.081,-80.967,-71.704,64.000,1.600
-77.081,-80.959,-71.663,65.600,1.600
-77.081,-80.945,-71.621,67.200,1.600
-77.081,-80.938,-71.579,68.800,1.600
-77.092,-80.924,-71.537,70.400,1.600
-77.092,-80.917,-71.495,72.000,1.600
-77.092,-80.902,-71.453,73.600,1.600
-77.103,-80.895,-71.410,75.200,1.600
-77.103,-80.881,-71.367,76.800,1.600
-77.103,-80.873,-71.324,78.400,1.600
-77.115,-80.859,-71.281,80.000,1.600
-77.115,-80.845,-71.237,81.600,1.600
-77.115,-80.837,-71.193,83.200,1.600
-77.126,-80.823,-71.149,84.800,1.600
-77.126,-80.816,-71.105,86.400,1.600
-77.126,-80.801,-71.061,88.000,1.600
-77.137,-80.794,-71.016,89.600,1.600
-77.137,-80.779,-70.971,91.200,1.600
-77.137,-80.772,-70.926,92.800,1.600
-77.148,-80.758,-70.881,94.400,1.600
-77.148,-80.750,-70.835,96.000,1.600
-77.148,-80.736,-70.789,97.600,1.600
-77.159,-80.728,-70.743,99.200,1.600
-77.159,-80.714,-70.697,100.800,1.600
-77.159,-80.706,-70.650,102.400,1.600
-77.170,-80.692,-70.603,104.000,1.600
-77.170,-80.684,-70.556,105.600,1.600
-77.181,-80.670,-70.509,107.200,1.600
-77.181,-80.662,-70.485,108.800,1.600
-77.181,-80.647,-70.437,110.400,1.600
-77.192,-80.640,-70.389,112.000,1.600
-77.192,-80.625,-70.341,113.600,1.600
-77.203,-80.618,-70.293,115.200,1.600
-77.203,-80.603,-70.244,116.800,1.600
-77.214,-80.596,-70.195,118.400,1.600
-77.214,-80.581,-70.145,120.000,1.600
-77.225,-80.573,-70.096,121.600,1.600
-77.225,-80.558,-70.046,123.200,1.600
-77.225,-80.551,-69.996,124.800,1.600
-77.236,-80.536,-69.945,126.400,1.600
-77.236,-80.529,-69.894,128.000,1.600
-77.247,-80.514,-69.843,129.600,1.600
-77.247,-80.506,-69.792,131.200,1.600
-77.258,-80.491,-69.740,132.800,1.600
-77.258,-80.483,-69.688,134.400,1.600
-77.269,-80.468,-69.636,136.000,1.600
-77.269,-80.461,-69.583,137.600,1.600
-77.279,-80.446,-69.530,139.200,1.600
-77.279,-80.438,-69.477,140.800,1.600
-77.290,-80.423,-69.423,142.400,1.600
-77.290,-80.415,-69.369,144.000,1.600
-77.301,-80.400,-69.315,145.600,1.600
-77.301,-80.393,-69.261,147.200,1.600
-77.312,-80.377,-69.206,148.800,1.600
-77.312,-80.370,-69.150,150.400,1.600
-77.323,-80.355,-69.095,152.000,1.600
-77.323,-80.347,-69.039,153.600,1.600
-77.334,-80.332,-68.982,155.200,1.600
-77.334,-80.324,-68.925,156.800,1.600
-77.344,-80.316,-68.868,158.400,1.600
-77.355,-80.301,-68.811,160.000,1.600
-77.355,-80.293,-68.753,161.600,1.600
-77.366,-80.278,-68.694,163.200,1.600
-77.366,-80.270,-68.636,164.800,1.600
-77.377,-80.255,-68.577,166.400,1.600
-77.377,-80.247,-68.517,168.000,1.600
-77.388,-80.231,-68.457,169.600,1.600
-77.398,-80.224,-68.397,171.200,1.600
-77.398,-80.208,-68.336,172.800,1.600
-77.409,-80.200,-68.275,174.400,1.600
-77.409,-80.193,-68.213,176.000,1.600
-77.420,-80.177,-68.151,177.600,1.600
-77.430,-80.169,-68.089,179.200,1.600
-77.430,-80.154,-68.026,180.800,1.600
-77.441,-80.146,-67.963,182.400,1.600
-77.441,-80.130,-67.899,184.000,1.600
-77.452,-80.122,-67.834,185.600,1.600
-77.462,-80.107,-67.770,187.200,1.600
-77.462,-80.099,-67.704,188.800,1.600
-77.473,-80.091,-67.638,190.400,1.600
-77.484,-80.075,-67.572,192.000,1.600
-77.484,-80.067,-67.505,193.600,1.600
-77.494,-80.051,-67.438,195.200,1.600
-77.505,-80.043,-67.370,196.800,1.600
-77.505,-80.036,-67.302,198.400,1.600
-77.516,-80.020,-67.233,200.000,1.600
-77.526,-80.012,-67.163,201.600,1.600
-77.526,-79.996,-67.093,203.200,1.600
-77.537,-79.988,-67.023,204.800,1.600
-77.547,-79.972,-66.951,206.400,1.600
-77.547,-79.964,-66.880,208.000,1.600
-77.558,-79.956,-66.807,209.600,1.600
-77.568,-79.940,-66.734,211.200,1.600
-77.568,-79.932,-66.661,212.800,1.600
-77.579,-79.916,-66.586,214.400,1.600
