rssi1,rssi2,rssi3,rssi4,rssi5,x,y
-70.627,-98.169,-91.896,-75.877,-71.388,276.800,0.000
-70.674,-103.279,-91.888,-75.851,-71.367,278.400,0.000
-70.720,-107.829,-92.371,-75.825,-71.345,280.000,0.000
-70.766,-101.939,-92.862,-75.800,-71.345,281.600,0.000
-70.812,-102.149,-92.754,-75.774,-71.324,283.200,0.000
-70.858,-102.260,-92.537,-75.748,-71.302,284.800,0.000
-70.903,-101.870,-92.128,-75.722,-71.281,286.400,0.000
-70.949,-101.680,-92.220,-75.696,-71.281,288.000,0.000
-70.994,-98.990,-92.803,-75.670,-71.259,289.600,0.000
-71.038,-99.100,-92.594,-75.643,-71.237,291.200,0.000
-71.083,-97.210,-92.986,-75.617,-71.237,292.800,0.000
-71.127,-103.610,-92.477,-75.591,-71.215,294.400,0.000
-71.171,-103.820,-92.360,-75.564,-71.193,296.000,0.000
-71.215,-103.530,-92.352,-75.538,-71.193,297.600,0.000
-71.259,-103.640,-92.243,-75.511,-71.171,299.200,0.000
-71.302,-105.250,-92.726,-75.484,-71.149,300.800,0.000
-71.345,-105.860,-92.917,-75.457,-71.149,302.400,0.000
-71.388,-100.370,-92.809,-75.431,-71.127,304.000,0.000
-71.431,-93.180,-92.300,-75.404,-71.127,305.600,0.000
-71.474,-85.389,-92.083,-75.377,-71.105,307.200,0.000
-71.516,-82.899,-92.374,-75.349,-71.083,308.800,0.000
-71.558,-83.409,-92.265,-75.322,-71.083,310.400,0.000
-71.600,-83.919,-92.148,-75.295,-71.061,312.000,0.000
-71.642,-84.129,-91.939,-75.267,-71.061,313.600,0.000
-71.684,-84.139,-92.031,-75.240,-71.038,315.200,0.000
-71.725,-84.239,-92.222,-75.212,-71.038,316.800,0.000
-71.766,-84.049,-92.505,-75.185,-71.016,318.400,0.000
-71.807,-83.959,-92.796,-75.157,-71.016,320.000,0.000
-71.848,-84.168,-92.787,-75.129,-70.994,321.600,0.000
-71.888,-84.478,-92.378,-75.101,-70.994,323.200,0.000
-71.929,-83.888,-92.761,-75.073,-70.971,324.800,0.000
-71.969,-84.098,-92.452,-75.045,-70.971,326.400,0.000
-72.009,-84.308,-92.143,-75.017,-70.949,328.000,0.000
-72.049,-84.317,-92.334,-74.989,-70.949,329.600,0.000
-72.089,-84.127,-92.817,-74.960,-70.926,331.200,0.000
-72.128,-85.037,-92.908,-74.932,-70.926,332.800,0.000
-72.167,-85.847,-92.699,-74.903,-70.903,334.400,0.000
-72.207,-87.856,-92.590,-74.874,-70.903,336.000,0.000
-72.245,-89.266,-91.873,-74.846,-70.903,337.600,0.000
-72.284,-92.776,-91.564,-74.817,-70.881,339.200,0.000
-72.323,-93.086,-91.855,-74.788,-70.881,340.800,0.000
-72.361,-92.795,-91.746,-74.759,-70.858,342.400,0.000
-72.400,-89.705,-92.137,-74.730,-70.858,344.000,0.000
-72.438,-88.115,-92.019,-74.700,-70.858,345.600,0.000
-72.476,-88.224,-91.811,-74.671,-70.835,347.200,0.000
-72.513,-88.834,-91.302,-74.642,-70.835,348.800,0.000
-72.551,-88.143,-90.893,-74.612,-70.835,350.400,0.000
-72.588,-91.053,-90.984,-74.582,-70.812,352.000,0.000
-72.626,-91.663,-91.266,-74.553,-70.812,353.600,0.000
-72.663,-92.622,-91.157,-74.523,-70.812,355.200,0.000
-72.700,-92.232,-91.148,-74.493,-70.789,356.800,0.000
-72.737,-92.291,-90.639,-74.463,-70.789,358.400,0.000
-72.773,-91.801,-90.630,-74.433,-70.789,360.000,0.000
-72.810,-91.120,-91.012,-74.402,-70.789,361.600,0.000
-72.846,-87.930,-91.103,-74.372,-70.766,363.200,0.000
-72.882,-86.739,-90.894,-74.342,-70.766,364.800,0.000
-72.918,-87.349,-90.385,-74.311,-70.766,366.400,0.000
-72.954,-86.858,-90.176,-74.280,-70.766,368.000,0.000
-72.990,-88.868,-90.258,-74.250,-70.743,369.600,0.000
-73.026,-92.577,-90.048,-74.219,-70.743,371.200,0.000
-73.061,-97.287,-90.539,-74.188,-70.743,372.800,0.000
-73.096,-102.896,-90.430,-74.156,-70.743,374.400,0.000
-73.131,-110.206,-90.521,-74.125,-70.743,376.000,0.000
-73.166,-107.715,-90.712,-74.094,-70.743,377.600,0.000
-74.094,-84.112,-109.065,-73.166,-70.743,422.400,0.000
-74.125,-84.221,-104.806,-73.131,-70.743,424.000,0.000
-74.156,-84.630,-103.896,-73.096,-70.743,425.600,0.000
-74.188,-84.839,-100.887,-73.061,-70.743,427.200,0.000
-74.219,-84.848,-101.727,-73.026,-70.743,428.800,0.000
-74.250,-84.558,-101.118,-72.990,-70.743,430.400,0.000
-74.280,-84.776,-100.008,-72.954,-70.766,432.000,0.000
-74.311,-84.885,-103.349,-72.918,-70.766,433.600,0.000
-74.342,-84.394,-106.839,-72.882,-70.766,435.200,0.000
-74.372,-84.603,-104.430,-72.846,-70.766,436.800,0.000
-74.402,-84.412,-106.720,-72.810,-70.789,438.400,0.000
-74.433,-84.730,-106.301,-72.773,-70.789,440.000,0.000
-74.463,-85.139,-101.391,-72.737,-70.789,441.600,0.000
-74.493,-84.748,-101.282,-72.700,-70.789,443.200,0.000
-74.523,-84.357,-101.072,-72.663,-70.812,444.800,0.000
-74.553,-83.866,-101.363,-72.626,-70.812,446.400,0.000
-74.582,-84.784,-101.353,-72.588,-70.812,448.000,0.000
-74.612,-85.693,-103.443,-72.551,-70.835,449.600,0.000
-74.642,-85.402,-104.434,-72.513,-70.835,451.200,0.000
-74.671,-85.711,-105.324,-72.476,-70.835,452.800,0.000
-74.700,-86.119,-106.515,-72.438,-70.858,454.400,0.000
-74.730,-86.137,-109.605,-72.400,-70.858,456.000,0.000
-74.759,-86.646,-112.095,-72.361,-70.858,457.600,0.000
-74.788,-86.455,-111.586,-72.323,-70.881,459.200,0.000
-74.817,-86.364,-111.576,-72.284,-70.881,460.800,0.000
-74.846,-86.773,-113.966,-72.245,-70.903,462.400,0.000
